公司代號,公司簡稱,公司名稱
2412,中華電,中華電信股份有限公司
2413,環科,環隆科技股份有限公司
2414,精技,精技電腦股份有限公司
2415,錩新,錩新科技股份有限公司
2417,圓剛,圓剛科技股份有限公司
2419,仲琦,仲琦科技股份有限公司
2420,新巨,新巨企業股份有限公司
2421,建準,建準電機工業股份有限公司
2423,固緯,固緯電子實業股份有限公司
2424,隴華,隴華電子股份有限公司
2425,承啟,承啟科技股份有限公司
2426,鼎元,鼎元光電科技股份有限公司
2427,三商電,三商電腦股份有限公司
2428,興勤,興勤電子工業股份有限公司
2429,銘旺科,銘旺科技股份有限公司
2430,燦坤,燦坤實業股份有限公司
2431,聯昌,聯昌電子企業股份有限公司
2433,互盛電,互盛股份有限公司
2434,統懋,統懋半導體股份有限公司
2436,偉詮電,偉詮電子股份有限公司
2438,翔耀,翔耀實業股份有限公司
2439,美律,美律實業股份有限公司
2440,太空梭,太空梭高傳真資訊科技(股)公司
2441,超豐,超豐電子股份有限公司
2442,新美齊,新美齊股份有限公司
2443,億麗,億麗科技股份有限公司
2444,兆勁,兆勁科技股份有限公司
2449,京元電子,京元電子股份有限公司
2450,神腦,神腦國際企業股份有限公司
2451,創見,創見資訊股份有限公司
2453,凌群,凌群電腦股份有限公司
2454,聯發科,聯發科技股份有限公司
2455,全新,全新光電科技股份有限公司
2456,奇力新,奇力新電子股份有限公司
2457,飛宏,飛宏科技股份有限公司
2458,義隆,義隆電子股份有限公司
2459,敦吉,敦吉科技股份有限公司
2460,建通,建通精密工業股份有限公司
2461,光群雷,光群雷射科技股份有限公司
2462,良得電,台灣良得電子股份有限公司
2464,盟立,盟立自動化股份有限公司
2465,麗臺,麗臺科技股份有限公司
2466,冠西電,冠西電子企業股份有限公司
2467,志聖,志聖工業股份有限公司
2468,華經,華經資訊企業股份有限公司
2471,資通,資通電腦股份有限公司
2472,立隆電,立隆電子工業股份有限公司
2474,可成,可成科技股份有限公司
2476,鉅祥,鉅祥企業股份有限公司
2477,美隆電,美隆工業股份有限公司
2478,大毅,大毅科技股份有限公司
2480,敦陽科,敦陽科技股份有限公司
2481,強茂,強茂股份有限公司
2482,連宇,連宇股份有限公司
2483,百容,百容電子股份有限公司
2484,希華,希華晶體科技股份有限公司
2485,兆赫,兆赫電子股份有限公司
2486,一詮,一詮精密工業股份有限公司
2488,漢平,漢平電子工業股份有限公司
2489,瑞軒,瑞軒科技股份有限公司
2491,吉祥全,吉祥全球實業股份有限公司
2492,華新科,華新科技股份有限公司
2493,揚博,揚博科技股份有限公司
2495,普安,普安科技股份有限公司
2496,卓越,卓越成功股份有限公司
2497,怡利電,怡利電子工業股份有限公司
2498,宏達電,宏達國際電子股份有限公司
2501,國建,國泰建設股份有限公司
2504,國產,國產建材實業股份有限公司
2505,國揚,國揚實業股份有限公司
2506,太設,太平洋建設股份有限公司
2509,全坤建,全坤建設開發股份有限公司
2511,太子,太子建設開發股份有限公司
2514,龍邦,龍邦國際興業股份有限公司
2515,中工,中華工程股份有限公司
2516,新建,新亞建設開發股份有限公司
2520,冠德,冠德建設股份有限公司
2524,京城,京城建設股份有限公司
2527,宏璟,宏璟建設股份有限公司
2528,皇普,皇普建設股份有限公司
2530,華建,大華建設股份有限公司
2534,宏盛,宏盛建設股份有限公司
2535,達欣工,達欣工程股份有限公司
2536,宏普,宏普建設股份有限公司
2537,聯上發,聯上開發股份有限公司
2538,基泰,基泰建設股份有限公司
2539,櫻花建,櫻花建設股份有限公司
2540,愛山林,愛山林建設開發股份有限公司
2542,興富發,興富發建設股份有限公司
2543,皇昌,皇昌營造股份有限公司
2545,皇翔,皇翔建設股份有限公司
2546,根基,根基營造股份有限公司
2547,日勝生,日勝生活科技股份有限公司
2548,華固,華固建設股份有限公司
2597,潤弘,潤弘精密工程事業股份有限公司
2601,益航,益航股份有限公司
2603,長榮,長榮海運股份有限公司
2605,新興,新興航運股份有限公司
2606,裕民,裕民航運股份有限公司
2607,榮運,長榮國際儲運股份有限公司
2608,嘉里大榮,嘉里大榮物流股份有限公司
2609,陽明,陽明海運股份有限公司
2610,華航,中華航空股份有限公司
2611,志信,志信國際股份有限公司
2612,中航,中國航運股份有限公司
2613,中櫃,中國貨櫃運輸股份有限公司
2614,東森,東森國際股份有限公司
2615,萬海,萬海航運股份有限公司
2616,山隆,山隆通運股份有限公司
2617,台航,台灣航業股份有限公司
2618,長榮航,長榮航空股份有限公司
2630,亞航,亞洲航空股份有限公司
2633,台灣高鐵,台灣高速鐵路股份有限公司
2634,漢翔,漢翔航空工業股份有限公司
2636,台驊投控,台驊國際投資控股股份有限公司
2637,慧洋,慧洋海運股份有限公司
2642,宅配通,台灣宅配通股份有限公司
2701,萬企,萬華企業股份有限公司
2702,華園,華園飯店股份有限公司
2704,國賓,國賓大飯店股份有限公司
2705,六福,六福開發股份有限公司
2706,第一店,第一華僑大飯店股份有限公司
2707,晶華,晶華國際酒店股份有限公司
2712,遠雄來,遠雄悅來大飯店股份有限公司
2722,夏都,夏都國際開發股份有限公司
2723,美食,開曼美食達人股份有限公司
2727,王品,王品餐飲股份有限公司
2731,雄獅,雄獅旅行社股份有限公司
2739,寒舍,寒舍餐旅管理顧問股份有限公司
2748,雲品,雲品國際酒店股份有限公司
2801,彰銀,彰化商業銀行股份有限公司
2809,京城銀,京城商業銀行股份有限公司
2812,台中銀,台中商業銀行股份有限公司
2816,旺旺保,旺旺友聯產物保險股份有限公司
2820,華票,中華票券金融股份有限公司
2823,中壽,中國人壽保險股份有限公司
2832,台產,台灣產物保險股份有限公司
2834,臺企銀,臺灣中小企業銀行股份有限公司
2836,高雄銀,高雄銀行股份有限公司
2838,聯邦銀,聯邦商業銀行股份有限公司
2841,台開,台灣土地開發股份有限公司
2845,遠東銀,遠東國際商業銀行股份有限公司
2849,安泰銀,安泰商業銀行股份有限公司
2850,新產,新光產物保險股份有限公司
2851,中再保,中央再保險股份有限公司
2852,第一保,第一產物保險股份有限公司
2855,統一證,統一綜合證券股份有限公司
2867,三商壽,三商美邦人壽保險股份有限公司
2880,華南金,華南金融控股股份有限公司
2881,富邦金,富邦金融控股股份有限公司
2882,國泰金,國泰金融控股股份有限公司
2883,開發金,中華開發金融控股股份有限公司
2884,玉山金,玉山金融控股股份有限公司
2885,元大金,元大金融控股股份有限公司
2886,兆豐金,兆豐金融控股股份有限公司
2887,台新金,台新金融控股股份有限公司
2888,新光金,新光金融控股股份有限公司
2889,國票金,國票金融控股股份有限公司
2890,永豐金,永豐金融控股股份有限公司
2891,中信金,中國信託金融控股股份有限公司
2892,第一金,第一金融控股股份有限公司
2897,王道銀行,王道商業銀行股份有限公司
2901,欣欣,欣欣大眾市場股份有限公司
2903,遠百,遠東百貨股份有限公司
2904,匯僑,匯僑股份有限公司
2905,三商,三商投資控股股份有限公司
2906,高林,高林實業股份有限公司
2908,特力,特力股份有限公司
2910,統領,統領百貨股份有限公司
2911,麗嬰房,麗嬰房股份有限公司
2912,統一超,統一超商股份有限公司
2913,農林,台灣農林股份有限公司
2915,潤泰全,潤泰全球股份有限公司
2923,鼎固,鼎固控股有限公司
2929,淘帝,淘帝國際控股有限公司
2936,客思達,客思達股份有限公司
2939,凱羿,凱羿國際集團股份有限公司
3002,歐格,歐格電子工業股份有限公司
3003,健和興,健和興端子股份有限公司
3004,豐達科,豐達科技股份有限公司(原宏達)
3005,神基,神基科技股份有限公司
3006,晶豪科,晶豪科技股份有限公司
3008,大立光,大立光電股份有限公司
3010,華立,華立企業股份有限公司
3011,今皓,今皓實業股份有限公司
3013,晟銘電,晟銘電子科技股份有限公司
3014,聯陽,聯陽半導體股份有限公司
3015,全漢,全漢企業股份有限公司
3016,嘉晶,嘉晶電子股份有限公司
3017,奇鋐,奇鋐科技股份有限公司
3018,同開,同開科技工程股份有限公司
3019,亞光,亞洲光學股份有限公司
3021,鴻名,鴻名企業股份有限公司
3022,威強電,威強電工業電腦股份有限公司
3023,信邦,信邦電子股份有限公司
3024,憶聲,憶聲電子股份有限公司
3025,星通,星通資訊股份有限公司
3026,禾伸堂,禾伸堂企業股份有限公司
3027,盛達,盛達電業股份有限公司
3028,增你強,增你強股份有限公司
3029,零壹,零壹科技股份有限公司
3030,德律,德律科技股份有限公司
3031,佰鴻,佰鴻工業股份有限公司
3032,偉訓,偉訓科技股份有限公司
3033,威健,威健實業股份有限公司
3034,聯詠,聯詠科技股份有限公司
3035,智原,智原科技股份有限公司
3036,文曄,文曄科技股份有限公司
3037,欣興,欣興電子股份有限公司
3038,全台,全台晶像股份有限公司
3040,遠見,遠見科技股份有限公司
3041,揚智,揚智科技股份有限公司
3042,晶技,台灣晶技股份有限公司
3043,科風,科風股份有限公司
3044,健鼎,健鼎科技股份有限公司
3045,台灣大,台灣大哥大股份有限公司
3046,建碁,建碁股份有限公司
3047,訊舟,訊舟科技股份有限公司
3048,益登,益登科技股份有限公司
3049,和鑫,和鑫光電股份有限公司
3050,鈺德,鈺德科技股份有限公司
3051,力特,力特光電科技股份有限公司
3052,夆典,夆典科技開發股份有限公司
3054,立萬利,立萬利創新股份有限公司
3055,蔚華科,蔚華科技股份有限公司
3056,總太,總太地產開發股份有限公司
3057,喬鼎,喬鼎資訊股份有限公司
3058,立德,立德電子股份有限公司
3059,華晶科,華晶科技股份有限公司
3060,銘異,銘異科技股份有限公司
3062,建漢,建漢科技股份有限公司
3090,日電貿,日電貿股份有限公司
3092,鴻碩,鴻碩精密電工股份有限公司
3094,聯傑,聯傑國際股份有限公司
3130,一零四,一零四資訊科技股份有限公司
3138,耀登,耀登科技股份有限公司
3149,正達,正達國際光電股份有限公司
3164,景岳,景岳生物科技股份有限公司
3167,大量,大量科技股份有限公司
3189,景碩,景碩科技股份有限公司
3209,全科,全科科技股份有限公司
3229,晟鈦,晟鈦股份有限公司
3231,緯創,緯創資通股份有限公司
3257,虹冠電,虹冠電子工業股份有限公司
3266,昇陽,昇陽建設企業股份有限公司
3296,勝德,勝德國際研發股份有限公司
3305,昇貿,昇貿科技股份有限公司
3308,聯德,聯德電子股份有限公司
3311,閎暉,閎暉實業股份有限公司
3312,弘憶股,弘憶國際股份有限公司
3321,同泰,同泰電子科技股份有限公司
3338,泰碩,泰碩電子股份有限公司
3346,麗清,麗清科技股份有限公司
3356,奇偶,奇偶科技股份有限公司
3376,新日興,新日興股份有限公司
3380,明泰,明泰科技股份有限公司
3383,新世紀,新世紀光電股份有限公司
3406,玉晶光,玉晶光電股份有限公司
3413,京鼎,京鼎精密科技股份有限公司
3416,融程電,融程電訊股份有限公司
3419,譁裕,譁裕實業股份有限公司
3432,台端,台端興業股份有限公司
3437,榮創,榮創能源科技股份有限公司
3443,創意,創意電子股份有限公司
3450,聯鈞,聯鈞光電股份有限公司
3454,晶睿,晶睿通訊股份有限公司
3481,群創,群創光電股份有限公司
3494,誠研,誠研科技股份有限公司
3501,維熹,維熹科技股份有限公司
3504,揚明光,揚明光學股份有限公司
3515,華擎,華擎科技股份有限公司
3518,柏騰,柏騰科技股份有限公司
3528,安馳,安馳科技股份有限公司
3530,晶相光,晶相光電股份有限公司
3532,台勝科,台塑勝高科技股份有限公司
3533,嘉澤,嘉澤端子工業股份有限公司
3535,晶彩科,晶彩科技股份有限公司
3536,誠創,誠創科技股份有限公司
3543,州巧,州巧科技股份有限公司
3545,敦泰,敦泰電子股份有限公司
3550,聯穎,聯穎科技股份有限公司
3557,嘉威,嘉威生活股份有限公司
3563,牧德,牧德科技股份有限公司
3576,聯合再生,聯合再生能源股份有限公司
3583,辛耘,辛耘企業股份有限公司
3588,通嘉,通嘉科技股份有限公司
3591,艾笛森,艾笛森光電股份有限公司
3593,力銘,力銘科技股份有限公司
3596,智易,智易科技股份有限公司
3605,宏致,宏致電子股份有限公司
3607,谷崧,谷崧精密工業股份有限公司
3617,碩天,碩天科技股份有限公司
3622,洋華,洋華光電股份有限公司
3645,達邁,達邁科技股份有限公司
3653,健策,健策精密工業股份有限公司
3661,世芯,世芯電子股份有限公司
3665,貿聯,貿聯控股(BizLink Holding Inc.)
3669,圓展,圓展科技股份有限公司
3673,TPK,"TPK Holding Co., Ltd."
3679,新至陞,新至陞科技股份有限公司
3682,亞太電,亞太電信股份有限公司
3686,達能,達能科技股份有限公司
3694,海華,海華科技股份有限公司
