代號,名稱,成交,漲跌價,漲跌幅,成交張數,更新日期,5日均線,10日均線,月均線,季均線,半年均線,年均線,二年均線,三年均線,五年均線,十年均線
00730,富邦臺灣優質高息,19.69,0.01,0.05,231,12月24日,19.6↗,19.5↗,19.5↗,19.7↘,20.4↘,20.3↗,18.8↗,18.6↗,,
00734B,台新JPM新興債,19.28,-0.07,-0.36,"1,003",12月24日,19.4↘,19.4↘,19.3↗,19.3↘,19.6↘,19.7↘,20.5↘,21↘,,
00736,國泰新興市場,21.86,0.08,0.37,101,12月24日,21.6↗,21.8↘,21.8↘,22.3↘,22.5↘,23↘,21.2↗,20.6↗,,
00738U,期元大道瓊白銀,23.3,0.01,0.04,266,12月24日,23↗,22.8↗,22.9↘,23.8↗,24.5↘,26↘,24.1↗,22.3↗,,
00740B,富邦全球投等債,47.21,-0.31,-0.65,109,12月24日,47.4↘,47.5↘,47.5↗,47.5↘,47.9↘,47.3↘,48↘,47.2↗,,
00741B,富邦全球高收債,36.76,0,0,102,12月24日,36.7↗,36.7↗,36.6↗,36.9↘,37.1↘,37.4↘,37.8↘,39↘,,
00746B,富邦A級公司債,43.93,-0.06,-0.14,100,12月24日,44↗,44↗,44↗,44↘,44.4↘,44.2↘,45.9↘,45.2↗,,
00749B,凱基新興債10+,42.1,-0.15,-0.36,102,12月24日,42.3↘,42.3↗,42↗,41.8↘,42.4↘,42.8↘,44.7↘,44.6↗,,
00750B,凱基科技債10+,42.79,-0.31,-0.72,100,12月24日,43.1↘,43.2↘,43.3↗,43.1↘,43.6↘,43.5↘,45.5↘,44.8↗,,
00751B,元大AAA至A公司債,44.36,-0.09,-0.2,87,12月24日,44.4↘,44.6↘,44.8↗,44.6↘,45↘,44.6↘,46.6↘,45.9↗,,
00752,中信中國50,21.22,-0.04,-0.19,"1,346",12月24日,21.1↗,21.5↘,22↘,23.5↘,24.5↘,27.5↘,26.8↘,25.4↘,,
00753L,中信中國50正2,20.82,-0.12,-0.57,"1,310",12月24日,20.6↘,21.3↘,22.2↘,24.6↘,26.7↘,33.4↘,31.4↘,29↘,,
00754B,群益AAA-AA公司債,45.63,-0.32,-0.7,106,12月24日,45.9↘,46↘,46↗,46↘,46.3↘,45.8↘,47.7↘,46.9↗,,
00755B,群益15年IG公用債,43.22,-0.3,-0.69,111,12月24日,43.5↘,43.6↘,43.7↗,43.7↘,44.1↘,43.9↘,45.5↘,44.9↗,,
00756B,群益15年EM主權債,43.7,-0.05,-0.11,112,12月24日,43.9↘,44↗,43.6↗,43.6↗,44.2↘,44.5↘,46.6↘,46.5↗,,
00758B,FH能源債,61.6,-0.4,-0.65,100,12月24日,61.9↘,62↘,62↗,62.3↘,62.7↘,61.8↘,62↘,63.6↗,,
00759B,FH製藥債,69.2,-0.5,-0.72,100,12月24日,69.5↘,69.5↘,69.6↗,69.7↘,70.4↘,69.9↘,72.6↘,71↗,,
00760B,FH新興企業債,63.45,-0.35,-0.55,100,12月24日,63.7↘,63.8↘,63.4↗,63.7↘,64.5↘,64.8↘,65.9↘,66.3↗,,
00761B,國泰A級公司債,45.41,-0.37,-0.81,110,12月24日,45.7↘,45.8↘,45.8↗,45.7↘,46.1↘,45.8↘,47.7↘,46.9↗,,
00771,元大US高息特別股,18.82,-0.03,-0.16,6,12月24日,18.8↘,18.8↗,18.8↗,19↘,19.1↘,19.1↘,19.1↘,,,
00772B,中信高評級公司債,43.91,-0.06,-0.14,686,12月24日,44↘,44↗,44.1↗,44↘,44.4↘,44.3↘,46.1↘,,,
00773B,中信優先金融債,44.8,-0.08,-0.18,236,12月24日,44.9↘,44.9↘,44.9↗,44.8↘,45.1↘,44.9↘,46.6↘,,,
00775B,新光投等債15+,41.95,-0.13,-0.31,2,12月24日,42.1↘,42.1↗,42.1↗,42.1↘,42.6↘,42.2↘,43.8↘,,,
00777B,凱基AAA至A公司債,42.95,-0.31,-0.72,102,12月24日,43.2↘,43.3↘,43.5↗,43.4↘,43.8↘,43.5↘,45.4↘,,,
00778B,凱基金融債20+,44.59,-0.3,-0.67,100,12月24日,44.8↘,45↘,45.2↘,45.1↘,45.4↘,45↘,46.5↘,,,
00780B,國泰A級金融債,39.8,-0.2,-0.5,100,12月24日,40↘,40↗,39.9↗,40.1↘,40.6↘,40.7↘,41.8↘,,,
00781B,國泰A級科技債,41.91,-0.36,-0.85,101,12月24日,42.2↘,42.4↘,42.6↘,42.4↘,42.8↘,42.7↘,44.9↘,,,
00782B,國泰A級公用債,41.52,-0.32,-0.76,102,12月24日,41.8↘,41.9↘,42↘,42↘,42.4↘,42.3↘,44.2↘,,,
00784B,富邦中國投等債,36.52,-0.07,-0.19,150,12月24日,36.6↘,36.6↗,36.5↗,36.5↘,36.9↘,37.3↘,38.8↘,,,
00785B,富邦金融投等債,42.63,-0.2,-0.47,171,12月24日,42.8↘,42.8↘,42.8↗,42.8↘,43.2↘,43↘,44.3↘,,,
00786B,元大10年IG銀行債,40.88,-0.26,-0.63,105,12月24日,41.1↘,41.2↘,41.2↗,41.3↘,41.7↘,41.5↘,43↘,,,
