代號,名稱,成交,漲跌價,漲跌幅,成交張數,更新日期,5日均線,10日均線,月均線,季均線,半年均線,年均線,二年均線,三年均線,五年均線,十年均線
2904,匯僑,25.3,0.15,0.6,31,12月24日,25.2↗,25.2↗,25.3↘,26↘,27.1↘,27.8↘,25.7↗,24.8↗,23.2↗,24.7↗
2906,高林,15.4,-0.05,-0.32,289,12月24日,15.4↘,15.5↗,15.4↘,15.4↘,15.3↘,15.5↗,14↗,12.9↗,12.2↗,12.2↗
2908,特力,21.25,0.1,0.47,153,12月24日,21.1↗,21↗,21.2↘,22.8↘,23.8↘,25↘,23.4↗,22.9↘,22.5↗,21.8↗
2923,鼎固-KY,27.1,0.05,0.18,7,12月24日,26.6↗,26.7↗,26.9↘,27↗,27↘,29.2↘,27.1↗,25.7↗,23.2↗,
2924,東凌-KY,17.7,0,0,0,12月24日,17.7→,17.7↘,17.7↗,18↘,18.3↘,19.2↘,20.9↘,25↘,34.3↘,
2926,誠品生活,59.3,0.4,0.68,11,12月24日,59.2↘,59.1→,59.1↘,59.6↗,59.5↘,65.7↘,75.6↘,92↘,112↘,
2929,淘帝-KY,12.35,-0.45,-3.52,551,12月24日,12.1↗,11.9↗,11.7↗,12.1↘,13.4↘,14.1↘,36.2↘,54↘,74.5↘,
2937,集雅社,36.4,0.05,0.14,8,12月24日,36.3→,36.3↗,36.4↘,37.6↘,37.5→,36.8↗,32.7↗,28.5↗,,
3004,豐達科,57.4,-0.1,-0.17,30,12月24日,57.1↗,57.2↘,58↘,59.2↗,58.2↘,58.1↘,59.2↘,68.9↘,62.3↗,55.5↗
3008,大立光,2445,-15,-0.61,852,12月24日,2412↗,2240↗,2127↗,2090↗,2435↘,2771↘,3352↘,3606↘,3961↘,2887↗
3022,威強電,45.7,0.05,0.11,267,12月24日,45↗,44.8↗,44.8↗,44.4↗,46.5↘,49.9↘,47.2↘,44.6↗,43.5↘,44↗
3025,星通,23.6,-0.45,-1.87,593,12月24日,24↘,23.8↗,23.5→,23.3↗,22.2↘,26.9↘,23.9↗,23↗,21.4↗,15.7↗
3026,禾伸堂,119.5,0,0,181,12月24日,118↗,118↘,120↘,117↗,123↘,124↗,117↗,113↘,106↗,69.8↗
3027,盛達,22.2,-0.2,-0.89,435,12月24日,22.3↗,22.2↘,22.7↘,23.2↘,23.2↘,23.2↗,18↗,14.7↗,13.3↗,14↗
3029,零壹,42.9,-0.35,-0.81,"1,385",12月24日,43↗,43↘,43.6↘,44.6↘,44.8↘,44.4↗,40↗,36.1↗,29.6↗,23.3↗
3030,德律,57,0.1,0.18,155,12月24日,56.9↗,56.9↘,57.1↘,56.6↗,57.1↘,57.6↗,55.9↗,54.1↗,50.8↗,49.1↗
3032,偉訓,31.95,0.05,0.16,180,12月24日,31.8↗,31.6↗,31.5↗,31.5↗,34.1↘,39↘,36.6↗,33.2↗,34.8↘,27↗
3040,遠見,38,0,0,19,12月24日,37.9↗,37.9↘,38↘,38.5↘,41.6↘,43.9↘,38.6↗,36.2↗,39↗,32.1↗
3043,科風,3.8,-0.07,-1.81,229,12月24日,3.8↗,3.79↗,3.65↗,3.73↘,3.8↘,4.09↘,3.95↗,3.46↗,3.07↗,5.02↘
3044,健鼎,123,0,0,279,12月24日,122↘,123↘,123↗,118↗,119↘,125↗,121↘,115↗,105↗,84.3↗
3045,台灣大,99.8,0.3,0.3,"2,077",12月24日,99.1↗,98.7↗,98.5↗,98.8↗,100↘,99.8↗,102↘,106↘,107↘,104↗
3052,夆典,10.6,0,0,125,12月24日,10.5↗,10.6↘,10.6↘,10.6↘,11.1↘,12↘,11.8↘,11.1↗,10.2↗,11.1↗
3055,蔚華科,28.45,-0.3,-1.04,101,12月24日,28.5↗,28.5↘,28.7↘,28.3↘,28.9↘,30.3↘,30.8↗,29.2↗,26.6↗,21↗
3064,泰偉,17.15,-1.75,-9.26,33,12月24日,17.1↗,15.6↗,14.5↗,14.7↗,16.3↘,21.3↘,20.3↗,20.5↘,19.7↘,27.9↘
3078,僑威,38.9,-0.3,-0.77,704,12月24日,38.8↗,38.5↗,39.1↘,39.4↘,43.6↘,47.6↘,39.6↗,34.9↗,33.1↗,25↗
3081,聯亞,194.5,-5.5,-2.75,280,12月24日,195↗,194↘,196↘,194↘,214↘,242↘,256↘,257↘,282↘,
3086,華義,105,-9,-7.89,257,12月24日,115↘,113↗,102↗,91.6↗,96.3↘,108↗,63.5↗,45.7↗,32.9↗,23.5↗
3092,鴻碩,53.4,0.5,0.95,"2,453",12月24日,52.5↗,52.4↗,52.7↘,55.9↘,61.8↘,64.9↘,53.3↗,51.4↗,49↗,32.7↗
3118,進階,29.9,-0.25,-0.83,36,12月24日,29.9↗,29.9↘,29.9↗,29.8↗,30.1↘,30.4↗,30.3↗,29.5↗,30.4↗,32.4↗
3131,弘塑,357,-4,-1.11,109,12月24日,355↗,356↘,362↘,359↘,380↘,372↘,337↗,271↗,230↗,201↗
3138,耀登,221,-3,-1.34,405,12月24日,225↘,231↘,226↘,213↗,210↘,246↗,,,,
3149,正達,31.55,-0.05,-0.16,672,12月24日,31.4↗,31.7↗,31.3↘,31.9↘,35.7↘,34.8↗,22.3↗,18.4↗,18.2↗,
3152,璟德,341,-5.5,-1.59,339,12月24日,343↘,344↘,347↘,350↘,394↘,449↘,403↗,351↗,333↗,236↗
3163,波若威,40.85,0.2,0.49,153,12月24日,40.6↗,41↘,41.4↘,39.8↗,41.1↘,45.3↘,48.3↘,47.3↗,45.1↘,
3171,新洲,20.8,0,0,35,12月24日,20.8↗,20.8↗,20.7↗,20.8↘,21.6↘,23.1↘,21.2↗,18.3↗,17↗,17↗
3176,基亞,56.5,-0.2,-0.35,221,12月24日,57↘,56.5↗,55↗,53.2↘,57.8↘,60.7↘,62.2↘,63↗,56.1↘,
3205,佰研,26.2,0.8,3.15,116,12月24日,25.5↗,25.6↗,25.8↘,25.8↗,26.4↘,28.5↘,34.1↘,39.9↘,55.4↘,66.6↗
3206,志豐,29.15,0.35,1.22,173,12月24日,28.8↗,28.9↘,28.8↗,28.8↘,30.8↘,33.2↘,31.7↘,30.5↗,27.5↗,23.6↗
3211,順達,100.5,1.1,1.11,409,12月24日,99.4↗,99.5↗,100↗,96.7↗,98.7↘,102↗,88.3↗,76↗,62.1↗,74↘
3218,大學光,280.5,-0.5,-0.18,68,12月24日,280↗,279↗,278↗,297↘,309↘,297↗,231↗,168↗,111↗,69.1↗
3219,倚強科,92.2,-0.7,-0.75,21,12月24日,93.4↘,93↘,92.4↗,95.7↘,118↘,107↗,66.3↗,50.9↗,37.8↗,23.6↗
3226,至寶電,65.7,1.2,1.86,12,12月24日,64.1↗,63.6↗,63.3↘,65.6↘,66.5↘,67.5↗,61.2↗,60↗,58.9↘,52.9↗
3227,原相,149,1,0.68,280,12月24日,148↗,148→,150↘,152↘,165↘,176↘,176↘,154↗,135↗,104↗
3229,晟鈦,6.38,0.1,1.59,138,12月24日,6.29↘,6.56↘,6.63↘,6.76↘,6.7↗,6.45↗,8.17↘,10.4↘,13↘,17.7↘
3231,緯創,29.1,0.15,0.52,"6,088",12月24日,29↗,29↘,29.1↘,28.9↗,28.7↘,30.1↘,29.8↘,27.8↗,26.5↗,27.3↘
3234,光環,26.7,-0.05,-0.19,147,12月24日,26.5↗,26.7↘,27↘,27↗,27.8↘,32.1↘,35.4↘,33.8↘,35.3↘,38.8↗
3236,千如,25.6,-0.5,-1.92,442,12月24日,25.6↗,25.2↗,25.1↘,24.5↗,25.6↘,26.4↗,23.2↗,23↘,29.3↗,21.7↗
3252,海灣,16.65,0,0,4,12月24日,16.6↘,16.6↘,16.8↘,17↘,17.1↘,17.3↘,16.7↗,17↘,18.7↘,22.5↘
3257,虹冠電,66.1,-0.3,-0.45,271,12月24日,66.1↗,65.6↗,66.5↘,66.7↘,71.2↘,75.9↘,71.5↗,66.7↗,59.8↗,55.6↗
3259,鑫創,32.85,1.45,4.62,536,12月24日,30.8↗,29↗,28.1↗,30.6↘,35.4↘,38↘,29.2↗,26.3↗,24.5↗,25.9↗
3272,東碩,41.35,-0.3,-0.72,166,12月24日,40.6↗,40.9↗,39.7↗,39.1↗,39.7↗,44.6↘,40.9↗,38.8↗,42.2↘,
3284,太普高,12.5,0.2,1.63,90,12月24日,12.4↗,12.3↗,12.3↗,12.4↗,12.4↘,12.8↘,12.8↘,13.2↘,15.3↘,13.4↗
3285,微端,21,-0.2,-0.94,7,12月24日,21↗,20.9↗,20.7↗,20.6↘,21.3↘,21.9↘,19.5↗,19.1↗,19.5↗,
3287,廣寰科,18.6,-0.2,-1.06,100,12月24日,18.7↗,18.6↘,18.8↗,17.3↗,17.6↘,21.3↘,18.8↗,15.2↗,12.4↗,10.7↗
3289,宜特,52,-0.6,-1.14,354,12月24日,52.4↗,52.2↘,53.5↘,52.2↗,51.5↘,52.1↘,51.9↗,48.7↗,65.7↘,62.9↗
3296,勝德,18.95,-0.15,-0.79,347,12月24日,18.5↗,18.4↗,18.3↗,18.3↘,19.8↘,20.7↗,17.3↗,16.8↗,16.7↗,17.9↘
3313,斐成,11.55,0.1,0.87,104,12月24日,11.5↘,11.6↘,11.5↗,11.5↘,11.5↘,11.6↘,12.7↘,15↘,22.4↘,16.4↘
3323,加百裕,42.3,-0.1,-0.24,425,12月24日,42.1↗,41.8↘,42.1↗,41.7↗,43.1↘,45.8↘,40.1↗,37.2↗,35.6↗,27.5↗
3325,旭品,18.45,0.1,0.54,422,12月24日,18.3↗,18.3↗,17↗,16.4↗,18.7↘,23.3↘,21.9↗,18.6↗,18↘,17.9↘
3346,麗清,44.65,-0.15,-0.33,538,12月24日,44.8↘,45.4↘,44.5↗,42.3↗,43.3↘,46.3↗,37.8↗,36.8↗,,
3356,奇偶,31.7,-0.3,-0.94,756,12月24日,31.7↗,31.4↗,30.6↗,30.9↘,34↘,31.8↗,28↗,29.4↘,32↘,73↘
3373,熱映,36.6,0.2,0.55,157,12月24日,36.4↘,36.3↘,37.1↗,36.4↘,46↘,62.4↘,72.9↗,54.2↗,40↗,35.5↗
3374,精材,137.5,-1,-0.72,610,12月24日,137↗,137↘,139↘,136↗,146↘,157↘,133↗,103↗,84.1↗,
3376,新日興,91,-1.2,-1.3,649,12月24日,91.4↘,92.3↘,93.7↘,97.6↘,104↘,113↘,127↘,122↗,107↗,96.6↗
3379,彬台,12.75,-0.25,-1.92,511,12月24日,12.8↗,12.6↗,12.4↗,12.4↘,12.6↘,13↗,11.5↗,11↗,11.3↗,20.7↘
3426,台興,38.7,0,0,3,12月24日,38.7↘,38.6↗,38.5↗,38.5↘,39↘,39.1↘,38.5→,41↘,,
3437,榮創,25.75,0.1,0.39,695,12月24日,25.4↗,25.7↗,25↗,24.5↗,25.9↘,29.1↗,24.3↗,21.5↗,24.7↗,
3450,聯鈞,55.4,-0.1,-0.18,172,12月24日,55.1↗,55.2↘,55.9↘,55.8↗,56.2↘,59.4↘,63.5↗,62.4↘,82.6↘,88.4↗
3454,晶睿,72.6,-0.1,-0.14,54,12月24日,72.3↗,72↗,71.3↗,73.2↘,75.9↘,79.8↘,78.1↘,88.4↘,88.3↘,97.3↗
3498,陽程,32.65,-0.15,-0.46,45,12月24日,32.5↗,32.7↘,32.6→,33.3↘,35.1↘,37.9↘,35.6↗,33.5↘,39.3↘,49.8↗
3501,維熹,47.85,0,0,86,12月24日,47.8↗,47.8↘,47.9↘,47.9↗,48.4↘,50.3↘,48.3↘,49.6↘,51↘,49.3↗
3518,柏騰,24.35,-0.85,-3.37,"1,405",12月24日,23.5↗,23.3↗,22.9↗,23.2↘,23.2↘,26.5↘,28.6↘,25.7↗,25.7↗,33.5↘
3522,御頂,10.1,0.05,0.5,168,12月24日,10.1↘,10.4↘,10.6↘,11.4↘,11.7↘,12↘,12.4↘,16.2↘,24.5↘,20.4↘
3530,晶相光,137,0,0,635,12月24日,136↗,136↘,139↘,140↘,163↘,144↗,118↗,108↗,,
3531,先益,22.1,-0.1,-0.45,6,12月24日,21.9↗,21.9↗,21.9↗,22↗,22.2↘,22.4↗,22.4↘,22.2↗,23.3↗,21.9↗
3536,誠創,5.94,0,0,0,12月24日,5.91↗,5.92↘,5.95↘,6.1↘,6.42↘,6.23↗,5.07↗,5.61↘,10.2↘,9.43↗
3537,堡達,36.15,0.05,0.14,98,12月24日,36.1↗,36.2↘,36.4↘,35.4↗,35.5↘,36.3↗,34.8↗,33.4↗,30↗,28↗
3540,曜越,42.7,1.6,3.89,826,12月24日,40.9↗,40.6↗,39.9↗,40↘,47.9↘,59.1↘,52↗,44↗,37.3↗,27↗
3543,州巧,26.05,-0.2,-0.76,77,12月24日,26.3↘,26.6↘,26.9↘,27.4↘,27.6↘,28.4↘,,,,
3545,敦泰,167.5,-3,-1.76,"5,223",12月24日,170↘,169↗,169↘,158↗,186↘,171↗,103↗,76.7↗,58.8↗,48.5↗
3548,兆利,62.5,-1.3,-2.04,386,12月24日,63.6↘,63.1↗,61.6↗,57.5↘,62.3↘,68.8↘,69.6↘,69.3↗,63.2↗,49.1↗
3552,同致,176.5,-4,-2.22,"1,585",12月24日,172↗,171↘,176↘,182↘,200↘,225↗,153↗,125↗,142↘,153↗
3557,嘉威,76.4,-0.5,-0.65,22,12月24日,76.9↘,77.3↘,77.3↗,77.9↘,79.5↘,85.1↘,77.4↗,60.6↗,40.8↗,23.9↗
3558,神準,98.6,-0.2,-0.2,57,12月24日,98.1↗,97.9↗,97.2↘,94.1↗,95↗,98.9↘,100↘,103↗,115↘,
3563,牧德,241.5,1,0.42,229,12月24日,238↗,235↗,234↗,232↗,245↘,257↘,287↘,314↘,285↗,169↗
3594,磐儀,21.65,0,0,313,12月24日,21.6↗,21.6↘,21.6↘,22.1↘,22.9↘,24.4↘,23.5↘,23.3↘,24.1↘,
3611,鼎翰,202,0,0,16,12月24日,199↗,199↗,200↘,204↘,213↘,210↗,203↘,218↘,223↘,211↗
3617,碩天,69.8,-0.2,-0.29,23,12月24日,70.1↗,69.6↗,69.6↗,72.5↘,75.6↘,80↘,82.9↘,85.6↘,89↘,79.8↗
3622,洋華,28.3,0.1,0.35,129,12月24日,28.2↗,28.3↘,28.8↘,29.1↘,29.2↘,31.8↘,26.9↗,23.8↗,20.6↗,27.6↘
3623,富晶通,16.1,-0.15,-0.92,22,12月24日,16.1↗,16.2↗,15.9↗,16↘,15.8↗,16.4↗,16.4↘,19.2↘,27.9↘,31.3↘
3629,地心引力,49,0,0,1,12月24日,49.2↘,48.8↘,53.6↘,56.3↘,58.1↘,52.3↘,60.8↘,50.6↗,39.7↗,27.4↗
3630,新鉅科,39.55,-0.5,-1.25,524,12月24日,39.3↗,38.6↗,38.3↘,39↘,41↘,46.6↘,50.6↘,65.8↘,57.6↗,52.3↘
3631,晟楠,47.55,-0.15,-0.31,10,12月24日,47.8↗,47.1↗,47↘,48↘,47.8↘,50.3↘,47.5↗,40.4↗,34.8↗,33.4↘
3642,駿熠電,9.72,0.02,0.21,38,12月24日,9.67↘,9.7↗,8.81↗,9.49↗,10.6↘,12.7↘,14.8↘,14.7↘,16.7↘,21.1↘
3645,達邁,42.5,-1.2,-2.75,523,12月24日,42.4↗,42↗,42.3↘,41.5↗,44.1↘,48↘,47.7↘,48.6↘,51.7↗,43↗
3652,精聯,22.15,0.15,0.68,222,12月24日,22↗,21.9↘,22.1↘,24.3↘,23.8↗,22.2↗,20.1↗,18.9↗,20.4↗,20.5↗
3664,安瑞-KY,9.03,0.06,0.67,70,12月24日,9→,9.03↘,9.1↘,8.73↗,9.05↘,10.4↘,11.1↘,11.3↘,13.4↘,17.3↘
3665,貿聯-KY,254,1.5,0.59,754,12月24日,250↗,247↗,250↘,254↗,248↘,256↗,234↗,226↗,223↗,165↗
3666,光耀,34.3,0.5,1.48,335,12月24日,33.8↗,33.7↗,33.6↗,30.4↗,33↘,45.3↘,35.5↗,29.2↗,26.6↗,
3669,圓展,61.2,2,3.38,"14,882",12月24日,55.1↗,52.5↗,52.4↗,51.1↗,59↘,70.1↘,63.5↗,48.1↗,36.9↗,29↗
3673,TPK-KY,42.8,-0.15,-0.35,998,12月24日,42.8↗,42.4↗,41.6↗,40.5↗,40.9↘,44.2↘,45.6↘,48.6↘,61↘,159↘
3679,新至陞,88.4,-0.8,-0.9,46,12月24日,88.8↘,88.9↘,87.6↗,83.2↗,91.3↘,111↘,94.3↗,80.6↗,78.3↗,65.3↗
3682,亞太電,8.19,0,0,"1,945",12月24日,8.19↗,8.19↘,8.23↘,8.27↘,8.27↘,8.87↘,8.36↗,7.92↗,8.42↘,
3686,達能,15.85,-0.1,-0.63,433,12月24日,16.1↗,16↘,15.8↗,16.1↘,17.1↘,17.1↘,13↗,9.43↗,8.16↗,10.3↘
3702A,大聯大甲特,49.5,-0.1,-0.2,78,12月24日,49.6↘,49.6↘,49.7↘,49.6↗,49.5↘,49.8↘,49.9↘,,,
3705,永信,42.8,0.05,0.12,136,12月24日,42.8→,42.8↘,43.1↘,43.3↘,43.2↘,43.5↘,44.2↗,43.3↗,42.7↘,45.6↘
3708,上緯投控,92.3,-0.7,-0.75,666,12月24日,94.8↘,92.7↗,91↗,96.6↗,97.5↘,117↘,112↗,103↗,94.2↗,
3711,日月光投控,105,1.5,1.45,"10,515",12月24日,103↗,103↗,104↗,102↘,111↘,108↗,88.4↗,81.5↗,,
3713,新晶投控,36.15,-0.55,-1.5,96,12月24日,36.8↘,37↘,36.3↗,35.4↗,35.8↘,41.5↘,,,,
4102,永日,19.65,-0.3,-1.5,61,12月24日,19.8↘,19.8↘,19.9↘,19↗,19.3↘,21.7↘,23↗,20.9↗,19.1↗,23.4↘
4105,東洋,68.5,-0.3,-0.44,502,12月24日,68.8↘,68.8↘,68.9↘,68.8↘,74↘,73.7↘,73.3↘,75.9↘,84.1↘,90.6↘
4106,雃博,28.6,0.05,0.18,241,12月24日,28.7↘,28.7↘,29↗,27.5↗,30↘,31↗,30.4↗,28.7↗,29↘,33.8↘
4107,邦特,115,0,0,62,12月24日,114↗,113↗,112↗,109↗,109↘,116↘,123↘,122↗,113↘,93.8↗
4108,懷特,23.3,0.25,1.08,517,12月24日,23.1↗,23.2↘,23.2↘,22.6↗,22.5↘,24.4↘,23.5↗,22.2↗,23.4↘,30.1↘
4109,加捷生醫,13.4,-0.05,-0.37,30,12月24日,13.4↘,13.5↘,13.5↘,13.3↗,13.4↘,14.7↘,15.5↘,16.6↗,16.7↘,19.6↘
4114,健喬,23.4,0,0,358,12月24日,23.5→,23.5↗,23↗,23↘,24.1↘,24.8↘,24.5↘,25.4↘,26.9↘,31.6↘
4116,明基醫,27.65,0.05,0.18,3,12月24日,27.6↗,27.7↘,27.9↘,27.4↘,28.5↘,31.4↘,32↘,33.3↘,34.3↘,
4119,旭富,82.8,-1.7,-2.01,675,12月24日,81.1↗,79.9↗,79.3↗,78.6↗,83↘,86.6↘,105↘,102↗,88.1↗,78.8↗
4120,友華,36,-0.2,-0.55,69,12月24日,36.1↘,36.2↘,37.4↘,39↘,39.9↘,42.8↘,46.6↘,50.2↘,57.7↘,60.1↘
4121,優盛,20.75,0,0,380,12月24日,20.7↘,20.7↘,20.8↗,19.8→,21.7↘,22↘,19.9↗,17↗,15.1↗,15↗
4123,晟德,61,-1.6,-2.56,"2,792",12月24日,61.6↗,61.4↘,61.6↘,61.4↘,64.9↘,66.1↘,64.5↗,67.3↘,64.9↗,64.1↗
4129,聯合,30.25,0,0,102,12月24日,30.2↗,29.8↗,29.7↗,29.9↘,30.9↘,32.5↘,34↘,38.2↘,47.5↘,48.9↘
4129A,聯合甲特,45.8,-0.05,-0.11,5,12月24日,45.9→,45.9↘,46↘,46.2↘,47.2↘,47.7↘,48.1↘,,,
4130,健亞,25.25,-0.75,-2.88,592,12月24日,25.8↗,24.5↗,23.2↗,22.5↗,23.6↘,25.5↘,28↘,27.9↘,30.8↘,
4131,晶宇,6.42,0.23,3.72,48,12月24日,6.18↗,6.2↘,6.57↘,6.16↗,6.33↗,6.45↘,6.77↗,6.57↘,7.26↗,9.72↘
4133,亞諾法,40.9,-0.3,-0.73,273,12月24日,41.2↘,41↘,41.2↗,38.9↘,45.1↘,51.4↘,55.3↗,46.5↗,42.3↗,41.4↘
4139,馬光-KY,43.9,-0.2,-0.45,3,12月24日,44.1↘,44.1↘,44.4↘,46.7↘,49.2↘,52.5↘,50.2↗,47.4↘,50.1↗,63.4↘
4142,國光生,44.25,-0.15,-0.34,598,12月24日,44.5↘,44↘,44.6↘,44.9↘,47.7↘,51.1↘,51.2↗,41.6↗,33.2↗,
4147,中裕,70.4,-1.1,-1.54,630,12月24日,71.9↘,72.6↘,71.7↘,70.2↘,67.3↗,70.9↘,80.9↘,105↘,147↘,
4155,訊映,23.35,0.1,0.43,84,12月24日,23.3↘,23.3↗,23.2↗,23.3↘,23.4↘,24.6↘,27.1↘,28.1↘,,
4157,太景*-KY,15.4,-0.2,-1.28,881,12月24日,15.7↘,15.8↘,15.4↗,15.6↘,17↘,19↘,19.9↘,19.2↘,20.5↘,
4163,鐿鈦,85.7,0.1,0.12,18,12月24日,85.5↘,85.6↗,85.5↘,85.4↘,85.6↘,88.2↘,101↘,108↘,109↘,
4167,松瑞藥,18.75,-0.05,-0.27,278,12月24日,18.8↗,18.7↘,19.1↘,19.5↘,21.8↘,25.9↘,27.6↘,24.7↗,24.8↘,
4171,瑞基,86.4,0.5,0.58,154,12月24日,86.6↘,86.7↘,89↗,85.4↘,103↘,117↘,148↗,113↗,76.1↗,
4173,久裕,17.95,-0.05,-0.28,57,12月24日,18.1↘,18.1↘,18.2↘,18↘,19.4↘,21.3↘,21.5↘,20.4↗,20↘,
4174,浩鼎,114,-0.5,-0.44,386,12月24日,116↘,117↘,113↗,108↗,107↗,118↘,115↘,127↘,155↘,
4175,杏一,69.5,0.1,0.14,14,12月24日,69.3↗,69.3↘,70↘,71.5↘,75.4↘,73↘,72↘,70.7↗,69.2↘,
4183,福永生技,18.15,-0.1,-0.55,3,12月24日,18.2↘,18.2↘,18.3↗,18.4↘,18.9↘,20.1↘,20.2↘,19↗,,
4190,佐登-KY,72.8,0.6,0.83,23,12月24日,72.3↗,72.2↗,72.6↘,74.1↗,74↘,80.7↘,84.2↘,92↘,88.6↘,
4192,杏國,31.9,-0.9,-2.74,231,12月24日,32.5↘,33.6↘,33↘,67.8↘,71.9↘,60.7↘,54.6↗,45.9↗,38.9↗,
4198,欣大健康,5.92,-0.01,-0.17,4,12月24日,6.03↘,6.06↗,5.93↘,6.18↘,6.22↗,6.86↘,6.46↗,6.13↘,9.39↘,
4305,世坤,32.2,0.3,0.94,6,12月24日,32↗,31.9↗,32↘,32.3↗,32.4↘,32.7↗,33.2↘,34.4↘,33.6↗,29.8↗
4306,炎洲,15.2,-0.05,-0.33,640,12月24日,15.2↗,15.1↗,15.1↘,15.2↘,16.4↘,16.5↘,14.5↗,14↗,14.2↗,16.5↘
4401,東隆興,35.6,0.1,0.28,68,12月24日,35.2↗,35↗,34.6↗,34.6↘,37.3↘,36.2↗,32.5↘,36.3↘,49.3↘,62.7↗
4413,飛寶企業,11.7,0,0,24,12月24日,11.8↘,11.7↗,11.7↘,11.9↘,12.1↘,13.2↘,14.1↘,13.5↘,13.2↘,11.1↗
4414,如興,7.11,0.23,3.34,"7,003",12月24日,6.85↗,6.84↗,7.02↘,7.69↘,8.08↘,9.07↘,10.2↘,11.2↘,13.6↘,14.2↘
4417,金洲,34.55,0,0,30,12月24日,34.6↘,34.8↘,35↘,34.8↘,35.5↘,35.7↗,33.6→,34.6↘,35.2↘,30.4↗
4419,元勝,9.91,0,0,0,12月24日,9.87↗,9.91↘,9.96↘,10.7↘,10.5↘,10.7↘,8.98↗,8.64↗,8.53↗,8.19↘
4426,利勤,21.7,0.15,0.7,176,12月24日,21.5↗,21.8↘,21.9↘,20.3↗,20.6↘,23.4↘,28.2↘,37.4↘,47.2↘,58.5↗
4432,銘旺實,14.3,-0.15,-1.04,48,12月24日,14.3↘,14.4↗,14.5↘,15.3↘,15.1↘,15.5↘,15.7↘,19.2↘,26↘,
4433,興采,31.2,0.35,1.13,32,12月24日,30.9↗,31↘,31.2↘,31.8↘,33.3↘,36.7↘,36.9↘,36.5↗,31↗,
4439,冠星-KY,134.5,0,0,3,12月24日,134↗,133↗,135↘,138↘,143↘,148↘,145↘,,,
4502,健信,39.8,0.2,0.51,11,12月24日,39.8↗,39.8↘,40.1↘,40.6↗,40.3↘,42.2↘,47.4↘,48.2↘,57.8↘,35.2↗
4527,方土霖,27.4,0.1,0.37,21,12月24日,27.3↘,27.4↗,27.3↘,27.4↘,28↘,28.7↘,27.2↗,27.3↘,28.9↘,26.2↗
4528,江興鍛,41.6,-0.6,-1.42,23,12月24日,41.6↗,41.5↗,41.3↗,41.3↗,42.3↘,46↘,44↘,46.5↘,53.3↗,45.3↗
4530,宏易,10.2,0,0,51,12月24日,10.1↗,10.1↗,10.1↗,8.83↗,8.8↗,10.8↘,11↗,9.63↗,8.98↗,6.54↗
4532,瑞智,19,0.05,0.26,201,12月24日,18.9↗,18.8↗,18.9↗,18.8↗,19.3↘,20.2↘,19.8↘,21.4↘,25.1↘,26.5↘
4534,慶騰,12.45,-0.25,-1.97,327,12月24日,12.7↘,12.8↘,12.8↘,12.3↘,13↘,12.7↗,10.1↗,9.87↗,13.8↘,14.5↗
4535,至興,33.95,0,0,0,12月24日,34.2↘,34.2↘,34.1↘,33.6↘,34.1↘,34↗,29.9↗,30.2↗,34.8↘,39.6↘
4536,拓凱,139.5,0,0,29,12月24日,139↗,139↘,140↗,135↗,138↘,150↘,145↗,143↗,124↗,
4540,全球傳動,47.8,-0.15,-0.31,110,12月24日,47.9↘,48.1↘,48↘,48↗,49.7↘,53.4↘,51.3↘,55.7↘,,
4550,長佳,22.9,0,0,9,12月24日,23→,23↘,23↘,22.9↘,23.4↘,23.7↗,24.3↘,22.8↗,21.6↗,
4552,力達-KY,31.9,-0.05,-0.16,51,12月24日,31.9↗,31.9↘,31.9↗,30.9↗,30.3↗,31.9↘,33.5↘,39.4↘,61.8↘,
4555,氣立,51.7,-0.9,-1.71,19,12月24日,51.9↗,51.7↗,51.7↘,52.6↘,54.6↘,54.1↗,51.9↗,53.1↘,58.1↘,
4556,旭然,31.7,0.1,0.32,2,12月24日,31.5↗,31.2↗,30.7↗,31↘,31.6↘,32.7↘,33.7↘,33.5↘,32.7↘,
4560,強信-KY,41.75,-0.05,-0.12,124,12月24日,41.8↘,41.8↘,42↘,42.3↘,42.3↘,42.3↘,43.6↘,46.4↘,,
4561,健椿,28.15,-0.3,-1.05,63,12月24日,28.2↘,28.3↘,28.3↘,28.5↘,28.8↘,29.4↘,27.1↗,26.7↗,,
4562,穎漢,16.8,-0.05,-0.3,57,12月24日,16.8↘,17↘,17.2↘,17.6↘,18.5↘,20↘,19.2↘,23.6↘,,
4563,百德,31,0.45,1.47,10,12月24日,30.6↗,30.5↗,30.2↗,30.8↗,30.2→,31↗,33.9↘,40.2↘,,
4566,時碩工業,45.3,0.15,0.33,75,12月24日,45.5↘,46.1↗,45.3↘,43.7↘,45.2↘,50.4↘,45.1↘,45.6↗,,
4568,科際精密,66.8,0,0,2,12月24日,65.9↗,65.4↗,64.7↗,65↗,66.5↘,68.3↘,65.1↗,66.2↘,,
4571,鈞興-KY,100,-0.5,-0.5,68,12月24日,100→,100↘,100↗,98.7↘,112↘,120↗,92↗,,,
4576,大銀微系統,111,0,0,66,12月24日,110↗,109↗,107↗,105↗,108↘,119↗,98.2↗,,,
4580,捷流閥業,89.7,0.1,0.11,28,12月24日,89.3↗,89→,89.3↗,87.7↗,88.3↘,91.8↘,,,,
4581,光隆精密-KY,35.55,0.45,1.28,4,12月24日,35.3↗,35.4↗,35.5↘,35.3↘,36.4↘,37.1↘,,,,
